Date,Price,Open,High,Low,Vol.,Change %
12/29/2023,74773.85,74480.29,74838.76,74366.97,368.6,0.36
12/28/2023,74502.58,73768.64,74502.58,73734.59,384.58,0.99
12/27/2023,73768.64,74034.23,74249.15,73762.07,432.91,-0.34
12/22/2023,74023.27,74288.88,74430.47,74018.72,423.2,-0.36
12/21/2023,74289.02,73397.71,74292.76,73397.71,760.93,1.21
12/20/2023,73397.71,72470.1,73399.61,72470.1,552.22,1.28
12/19/2023,72470.1,72404.91,72489.21,72320.32,411.06,0.09
12/18/2023,72404.91,72389.23,72413.13,72276.75,324.15,0.02
12/15/2023,72389.23,72458.76,72671.03,72368.3,307.15,-0.09
12/14/2023,72455.83,72299.79,72539.04,72299.79,446.58,0.22
12/13/2023,72299.79,71907.26,72299.79,71907.26,433.18,0.55
12/12/2023,71907.26,71669.91,71907.26,71641.05,319.41,0.33
12/11/2023,71669.91,71559.1,71685.84,71503.35,375.31,0.18
12/08/2023,71541.74,71458.35,71541.74,70741.96,503.66,0.12
12/07/2023,71457.92,71591.46,71603.36,71424.74,436.56,-0.49
12/06/2023,71808.64,71253.78,71866.37,71242.31,690.01,0.78
12/05/2023,71250.17,70946.83,71250.17,70945.55,433.57,0.43
12/04/2023,70946.83,71433.64,71607.91,70946.37,358.51,-0.66
12/01/2023,71419.87,71365.27,71456.61,71356.11,361.12,0.08
11/30/2023,71365.25,71284.18,71388.13,71270.17,540.09,0.11
11/29/2023,71283.34,71163.09,71360.17,71129.47,360.6,0.34
11/28/2023,71041.05,71353.82,71438.19,71000.1,534.62,-0.44
11/27/2023,71353.81,71241.96,71566.58,70810.51,746.64,0.17
11/24/2023,71230.49,71072.34,71242.18,71069.65,582.76,0.25
11/23/2023,71052.85,71009.71,71055.28,70990.01,563.7,0.07
11/22/2023,71003.98,71067.29,71089.79,70970.75,428.44,-0.09
11/21/2023,71066.55,71008.99,71079.86,71007.31,491.4,0.08
11/20/2023,71008.78,71112.99,71122.32,70959.16,358.45,-0.15
11/17/2023,71112.99,71025.59,71169.7,71013.7,441.58,0.12
11/16/2023,71025.16,71014.12,71080.3,71011.23,483.8,0.02
