Date, Open, High, Low, Close, Volume
8/6/2022,26.75,27,26.35,26.45,10383400
7/6/2022,26.75,26.85,26.3,26.4,10187100
6/6/2022,26.85,27.05,26.3,26.35,5323200
3/6/2022,26.45,26.85,26.05,26.2,7264000
2/6/2022,26.25,26.4,25.95,26,7618600
05/31/22,26.3,26.45,25.95,26,20079900
05/30/22,26.8,26.8,26,26.25,2565300
05/27/22,26.95,27,26.3,26.45,5134300
05/26/22,26.75,27.25,26.55,26.85,15557000
05/25/22,27,27,26.5,26.55,7833200
05/24/22,26.5,26.9,25.5,26.35,20684199
05/23/22,27.7,28,26.05,26.65,5713100
05/20/22,28.5,28.5,27.5,27.8,2596200
05/19/22,29.45,29.45,27.5,28.05,3844600
05/18/22,30.5,30.5,28,29.45,6899300
05/17/22,30.3,30.55,30.1,30.45,5200100
05/16/22,31,31,30.1,30.3,12643600
05/13/22,31.8,31.8,30,30.2,2640500
12/5/2022,32.95,33.2,31,31.85,4952400
11/5/2022,32.5,33,32.3,32.4,9180000
10/5/2022,32.25,32.95,32,32.25,11056900
9/5/2022,32,32.5,32,32.2,22141100
6/5/2022,32.85,33,31.5,32,19178801
5/5/2022,33.4,33.45,32,32.95,382700
4/5/2022,33.7,34,33.2,33.5,10003100
04/28/22,33.9,33.9,33.5,33.7,3389800
04/27/22,34,34,33.5,33.8,2155100
04/26/22,34,34,33.25,33.85,3325700
04/25/22,35,35,33.9,34,2071900
04/22/22,34.5,35,34,34.2,2441600
04/21/22,35.1,35.45,34.5,34.75,15472200
04/20/22,35,35.5,35,35.05,2113100
04/19/22,35.35,35.5,34.9,35,16557301
04/14/22,35.5,35.9,35,35.3,942000
04/13/22,35,35.9,35,35.45,9471400
12/4/2022,34.2,35.05,34,34.7,16427400
11/4/2022,35,35,34,34.1,654600
8/4/2022,35.1,35.1,34.7,35,1899000
7/4/2022,35.4,35.4,34.9,35.05,4939800
6/4/2022,35.4,35.5,34.9,35.1,2546600
5/4/2022,35.35,35.8,35.3,35.45,2668200
4/4/2022,34.95,36,34.85,35.35,3006000
1/4/2022,33.9,35.05,33.9,34.5,12740700
03/31/22,34.75,34.85,33.5,34.15,6621600
03/30/22,35.45,35.5,34.55,35.05,4293000
03/29/22,35.4,35.5,35.2,35.4,1759300
03/28/22,35.5,35.7,35.1,35.4,4134200
03/25/22,35.95,36.05,35.5,35.95,1192700
03/24/22,35.95,35.95,35,35.5,2465300
03/23/22,36.15,36.15,35.6,35.95,5695100
03/22/22,36,37,34.3,36.15,4567700
03/21/22,34.95,35.95,34.95,35.5,2363700
03/18/22,34.95,35.4,34.25,34.5,2834500
03/17/22,35.25,35.5,34.5,34.95,7984300
03/16/22,35.5,35.5,34.9,35.4,5152100
03/15/22,35.6,36.8,35.3,35.65,3006700
03/14/22,35.6,35.6,35.3,35.5,2714200
11/3/2022,35.2,36,35.2,35.5,1807600
10/3/2022,35.1,35.5,34.8,35.05,9826100
9/3/2022,36.05,36.05,34.9,35.1,5545700
8/3/2022,36.45,37,35,36.05,10434800
7/3/2022,37.4,37.5,36.25,36.7,1753300
4/3/2022,37.5,37.7,37.4,37.5,7450400
3/3/2022,37.35,37.75,37,37.5,5712100
2/3/2022,36.5,37.5,36.3,37,10535600
1/3/2022,35.7,36.8,35.7,36.15,1549700
02/28/22,36.7,36.75,35.7,35.95,11298700
02/25/22,35.1,36.5,35.05,35.65,10821100
02/24/22,36,36.45,34.05,34.55,18336199
02/23/22,37.8,37.8,35.65,36.6,2530300
02/22/22,37.9,38.05,37,37.85,6843800
02/21/22,37.95,38,37.9,37.95,1566100
02/18/22,38,38,37.75,37.95,2057900
02/17/22,38,38.1,37.7,37.95,6805600
02/16/22,37.35,38.3,37.35,37.65,6751700
02/15/22,38,38.5,37,37.35,11463100
02/14/22,38.5,38.6,37.5,38.1,2071100
11/2/2022,38.5,38.7,38.05,38.5,413900
10/2/2022,38.7,38.95,38.5,38.7,14587600
9/2/2022,38.6,38.8,38.05,38.3,5454100
8/2/2022,38.05,40,38.05,38.9,15629900
7/2/2022,38,38.5,37.9,38.05,2911600
